algorithm,dataset,min,mean,max
BFS,graph500-22,20 MB,113 MB,353 MB
BFS,datagen-7\_5-fb,46 MB,162 MB,465 MB
BFS,datagen-7\_9-fb,110 MB,373 MB,1 GB
BFS,cit-Patents,259 MB,1 GB,4 GB
BFS,datagen-8\_4-fb,1 GB,1 GB,1 GB
BFS,datagen-8\_8-zf,18 GB,18 GB,18 GB
PageRank,datagen-7\_5-fb,183 MB,401 MB,831 MB
PageRank,datagen-7\_9-fb,408 MB,884 MB,1 GB
PageRank,graph500-22,1 GB,1 GB,1 GB
PageRank,cit-Patents,935 MB,2 GB,4 GB
PageRank,datagen-8\_4-fb,3 GB,3 GB,3 GB
PageRank,datagen-8\_8-zf,37 GB,37 GB,37 GB
SSSP,datagen-7\_5-fb,59 MB,181 MB,569 MB
SSSP,datagen-7\_9-fb,147 MB,428 MB,1 GB
SSSP,datagen-8\_4-fb,1 GB,1 GB,1 GB
SSSP,datagen-8\_8-zf,2 GB,2 GB,2 GB
WCC,datagen-7\_5-fb,23 MB,70 MB,203 MB
WCC,datagen-7\_9-fb,54 MB,156 MB,447 MB
WCC,graph500-22,255 MB,255 MB,255 MB
WCC,datagen-8\_4-fb,553 MB,553 MB,553 MB
WCC,cit-Patents,368 MB,1012 MB,3 GB
