algorithm,dataset,min,mean,max,std
BFS,graph500-22,36.40,39.64,43.21,2.21
BFS,datagen-7\_5-fb,41.68,51.72,58.53,6.14
BFS,datagen-7\_9-fb,67.92,99.09,132.25,21.23
BFS,cit-Patents,107.64,122.38,154.33,16.12
BFS,datagen-8\_4-fb,229.72,229.72,229.72,nan
BFS,datagen-8\_8-zf,338.59,338.59,338.59,nan
PageRank,datagen-7\_5-fb,56.88,76.00,96.04,12.65
PageRank,graph500-22,133.40,133.40,133.40,nan
PageRank,datagen-7\_9-fb,112.68,137.97,165.56,19.01
PageRank,cit-Patents,150.14,190.39,253.34,41.64
PageRank,datagen-8\_4-fb,363.00,363.00,363.00,nan
PageRank,datagen-8\_8-zf,889.40,889.40,889.40,nan
SSSP,datagen-7\_5-fb,44.07,51.89,60.18,5.05
SSSP,datagen-7\_9-fb,78.07,99.48,137.11,19.05
SSSP,datagen-8\_4-fb,245.58,245.58,245.58,nan
SSSP,datagen-8\_8-zf,281.94,281.94,281.94,nan
WCC,datagen-7\_5-fb,39.84,44.61,48.55,2.46
WCC,graph500-22,72.91,72.91,72.91,nan
WCC,datagen-7\_9-fb,72.53,82.26,89.65,4.79
WCC,cit-Patents,181.91,204.88,244.70,20.24
WCC,datagen-8\_4-fb,240.27,240.27,240.27,nan
