algorithm,dataset,min,mean,max,std
BFS,graph500-22,27.69,31.13,33.59,2.15
BFS,datagen-7\_5-fb,36.28,47.08,64.88,10.78
BFS,cit-Patents,67.31,72.70,93.08,10.12
BFS,datagen-7\_9-fb,49.26,73.49,106.84,26.70
BFS,datagen-8\_8-zf,113.86,175.32,251.50,44.62
BFS,datagen-8\_4-fb,122.33,189.15,294.74,69.82
PageRank,datagen-7\_5-fb,43.05,44.33,46.67,1.32
PageRank,graph500-22,79.79,84.80,92.39,4.60
PageRank,datagen-7\_9-fb,84.40,89.33,94.55,4.04
PageRank,cit-Patents,85.08,90.95,95.72,4.09
PageRank,datagen-8\_4-fb,295.67,313.20,349.99,21.03
PageRank,datagen-8\_8-zf,329.03,362.90,399.79,27.96
SSSP,datagen-7\_5-fb,33.83,45.50,73.23,13.94
SSSP,datagen-7\_9-fb,53.02,81.02,105.83,21.56
SSSP,datagen-8\_8-zf,110.66,169.43,261.90,49.85
SSSP,datagen-8\_4-fb,132.02,175.24,266.42,52.84
WCC,datagen-7\_5-fb,37.75,40.63,43.53,2.06
WCC,graph500-22,57.96,72.30,85.57,8.79
WCC,datagen-7\_9-fb,71.36,77.43,80.37,3.69
WCC,cit-Patents,156.39,160.63,167.99,4.68
WCC,datagen-8\_4-fb,184.61,211.99,266.39,31.77
