algorithm,dataset,min,mean,max
BFS,datagen-7\_5-fb,181 MB,181 MB,181 MB
BFS,datagen-7\_9-fb,415 MB,415 MB,415 MB
BFS,datagen-8\_4-fb,1 GB,1 GB,1 GB
BFS,cit-Patents,2 GB,2 GB,2 GB
PageRank,datagen-7\_5-fb,230 MB,230 MB,230 MB
PageRank,datagen-7\_9-fb,507 MB,507 MB,507 MB
PageRank,graph500-22,743 MB,744 MB,744 MB
PageRank,cit-Patents,1 GB,1 GB,1 GB
PageRank,datagen-8\_4-fb,1 GB,1 GB,1 GB
SSSP,datagen-7\_5-fb,184 MB,184 MB,184 MB
SSSP,datagen-7\_9-fb,445 MB,445 MB,445 MB
SSSP,datagen-8\_4-fb,1 GB,1 GB,1 GB
WCC,datagen-7\_5-fb,55 MB,55 MB,55 MB
WCC,datagen-7\_9-fb,123 MB,123 MB,123 MB
WCC,graph500-22,175 MB,175 MB,175 MB
WCC,datagen-8\_4-fb,347 MB,347 MB,347 MB
WCC,cit-Patents,920 MB,920 MB,920 MB
