algorithm,dataset,min,mean,max,std
BFS,graph500-22,31.00,32.36,34.16,1.62
BFS,datagen-7\_5-fb,39.53,46.00,58.52,10.84
BFS,datagen-7\_9-fb,60.90,67.15,79.56,10.75
BFS,cit-Patents,71.69,78.79,84.12,6.40
BFS,datagen-8\_4-fb,197.84,218.85,234.28,18.85
BFS,datagen-8\_8-zf,174.64,232.69,290.74,82.10
PageRank,datagen-7\_5-fb,74.66,75.88,77.10,1.22
PageRank,datagen-7\_9-fb,137.28,140.30,145.44,4.48
PageRank,graph500-22,144.99,150.52,156.77,5.92
PageRank,cit-Patents,181.05,187.90,196.82,8.09
PageRank,datagen-8\_4-fb,383.87,399.11,406.74,13.20
PageRank,datagen-8\_8-zf,768.63,1041.84,1282.99,258.68
SSSP,datagen-7\_5-fb,42.36,49.16,61.56,10.75
SSSP,datagen-7\_9-fb,65.87,76.02,85.27,9.73
SSSP,datagen-8\_8-zf,165.21,177.86,188.40,11.74
SSSP,datagen-8\_4-fb,245.07,249.60,253.18,4.14
WCC,datagen-7\_5-fb,40.52,41.67,43.23,1.40
WCC,graph500-22,70.44,71.57,72.31,0.99
WCC,datagen-7\_9-fb,73.08,75.05,76.22,1.71
WCC,cit-Patents,186.84,188.81,190.77,1.96
WCC,datagen-8\_4-fb,221.59,241.08,255.28,17.46
